,ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
972,12800002,Intermarché,4419842.0,234030.0,12800,Place Frédéric Mistral,NAUCELLE,R
974,12850001,Système U,4437300.0,259200.0,12850,Route d'Espalion,ONET-LE-CHâTEAU,R
975,12850002,E.Leclerc,4439400.0,260300.0,12850,l'Estréniol - Pôle Comtal Sud,Onet-le-Château,R
976,12850004,E.Leclerc,4436400.0,258800.0,12850,14 ROUTE DE SEVERAC LES QUATRES SAISONS,Onet-le-Château,R
977,13000001,Intermarché,4331339.0,540524.0,13004,33 Boulevard du Maréchal Juin,Marseille,R
980,13002004,Avia,4330200.0,537100.0,13002,44 BOULEVARD DES DAMES,Marseille,R
981,13003004,TotalEnergies Access,4331700.0,538100.0,13003,83 BD DE PLOMBIERES,Marseille,R
982,13004005,TotalEnergies Access,4330400.0,540100.0,13004,70 BD FRANCOISE DUPARC,Marseille,R
983,13005011,TotalEnergies,4328695.0,539974.0,13005,"34,BD JEAN MOULIN",MARSEILLE,R
984,13005012,TotalEnergies,4329300.0,540200.0,13005,103 BOULEVARD SAKAKINI,MARSEILLE,R
985,13005013,TotalEnergies Access,4329500.0,540000.0,13005,ANGLE BD CHAVE ET SAKAKINI,Marseille,R
986,13006003,Avia,4328620.0,537408.0,13006,88 Boulevard Notre-Dame,MARSEILLE,R
987,13006005,TotalEnergies,4328500.0,539100.0,13006,78 AV DE TOULON,MARSEILLE,R
988,13007001,Esso,4329100.0,535900.0,13007,13 Avenue Pasteur,Marseille,R
989,13007008,ENI,4327856.7,536324.1,13007,95 Avenue des roches,Marseille,R
991,13008004,Esso,4325400.0,538200.0,13008,1/3 BOULEVARD DU SABLIER,Marseille,R
992,13008008,Carrefour,4324900.0,539100.0,13008,AVENUE DE HAMBOURG,MARSEILLE,R
993,13008013,ENI,4325457.0,538209.0,13008,175 Avenue Clot-Bey,MARSEILLE,R
994,13008014,Avia,4324300.0,536900.0,13008,1 Avenue d'Odessa,MARSEILLE,R
995,13008016,TotalEnergies,4327400.0,539300.0,13008,35/37 BOULEVARD RABATAU,Marseille,R
